"(n,m)",Size,Time (s)
"(10,30)",7,0.0071400000000000005
"(10,40)",8,0.0078000000000000005
"(10,25)",6,0.0069700000000000005
"(10,45)",9,0.015420000000000001
"(10,10)",4,0.005920000000000001
"(10,35)",7,0.008830000000000001
"(10,15)",5,0.005900000000000001
"(10,20)",6,0.007490000000000001
