"(n, m)",P1,,P2,,
,BF,,AA,,
,Size,Time (in seconds),Size,AF,Time (in seconds)
"10,10",4,0.00592000,8,2.000,0.00005000
"10,15",5,0.00590000,8,1.600,0.00006000
"10,20",6,0.00749000,8,1.333,0.00006000
"10,25",6,0.00697000,8,1.333,0.00010000
"10,30",7,0.00714000,8,1.143,0.00007000
"10,35",7,0.00883000,8,1.143,0.00013000
"10,40",8,0.00780000,10,1.250,0.00010000
"10,45",9,0.01542000,10,1.111,0.00010000
